stretch_uniaxial,stress_uniaxial,stretch_shear,stress_shear,stretch_biaxial,stress_biaxial
0.047315877,0.566379962,0.031121913,0.363872734,0.016917859,0.208013504
0.114337702,1.252441386,0.106903688,1.319594434,0.034860309,1.231294841
0.207137152,1.786044716,0.175998835,2.176448372,0.075871622,1.799784473
0.320558702,2.624564235,0.271840492,3.000346389,0.132262178,2.671468576
0.464913402,3.386854706,0.385513154,3.692420724,0.204031977,3.353656134
0.650512301,4.149145178,0.572738715,4.812922027,0.327065917,4.339038162
0.872199876,5.063893743,0.846890429,5.90046741,0.439847028,5.210722265
1.062954301,5.521268026,1.392964982,7.614175286,0.685914909,6.575097381
1.258864251,6.283558498,1.761795336,8.869484294,0.949925238,7.825774571
1.56819575,7.27453611,1.985948596,9.731203957,1.490761933,9.872337246
1.882682775,8.34174277,2.47908577,11.38835716,2.042042392,12.62458572
2.320902399,9.713865619,2.949807617,12.97922423,2.435772467,14.81490995
2.671478099,11.00975942,3.366732682,14.90152194,2.743739556,17.52399518
3.047831424,12.53434036,3.689513377,16.55867514,3.082893185,20.29072052
3.401282798,14.38134918,3.974260637,18.13924643,3.262215793,22.42340463
3.762646433,16.29679456,,,3.457131672,24.61372886
4.35582825,19.82524658,,,,
4.758100977,23.55532443,,,,
5.14673734,27.18458936,,,,
5.399010066,30.91466721,,,,
5.596737339,34.94718381,,,,
5.857138186,38.47639532,,,,
6.052054065,42.05008222,,,,
6.159058454,45.85207459,,,,
6.253202824,49.76295614,,,,
6.383211715,53.0109764,,,,
6.486322215,56.92185795,,,,
6.606473595,64.53400504,,,,
