stretch_uniaxial,stress_uniaxial,stretch_shear,stress_shear
0.047315877,0.566379962,0.031121913,0.363872734
0.114337702,1.252441386,0.106903688,1.319594434
0.207137152,1.786044716,0.175998835,2.176448372
0.320558702,2.624564235,0.271840492,3.000346389
0.464913402,3.386854706,0.385513154,3.692420724
0.650512301,4.149145178,0.572738715,4.812922027
0.872199876,5.063893743,0.846890429,5.90046741
1.062954301,5.521268026,1.392964982,7.614175286
1.258864251,6.283558498,1.761795336,8.869484294
1.56819575,7.27453611,1.985948596,9.731203957
1.882682775,8.34174277,2.47908577,11.38835716
2.320902399,9.713865619,2.949807617,12.97922423
2.671478099,11.00975942,3.366732682,14.90152194
3.047831424,12.53434036,3.689513377,16.55867514
3.401282798,14.38134918,3.974260637,18.13924643
3.762646433,16.29679456,,
4.35582825,19.82524658,,
4.758100977,23.55532443,,
5.14673734,27.18458936,,
5.399010066,30.91466721,,
5.596737339,34.94718381,,
5.857138186,38.47639532,,
6.052054065,42.05008222,,
6.159058454,45.85207459,,
6.253202824,49.76295614,,
6.383211715,53.0109764,,
6.486322215,56.92185795,,
6.606473595,64.53400504,,
