stretch_uniaxial,stress_uniaxial,stretch_shear,stress_shear
1,0,1,0
1.047315877,0.056637996,1.031121913,0.036387273
1.114337702,0.125244139,1.106903688,0.131959443
1.320558702,0.262456423,1.175998835,0.217644837
1.650512301,0.414914518,1.271840492,0.300034639
1.872199876,0.506389374,1.385513154,0.369242072
2.062954301,0.552126803,1.485513154,0.42072
2.258864251,0.62835585,1.572738715,0.481292203
3.320902399,0.971386562,1.7038715,0.539292203
3.671478099,1.100975942,1.846890429,0.590046741
4.047831424,1.253434036,2.392964982,0.731417529
4.401282798,1.438134918,2.50964982,0.7917529
5.35582825,1.982524658,2.761795336,0.8448429
5.758100977,2.355532443,2.851795336,0.916948429
6.14673734,2.718458936,2.985948596,0.973120396
6.596737339,3.494718381,3.47908577,1.138835716
6.857138186,3.847639532,3.949807617,1.297922423
7.052054065,4.205008222,4.366732682,1.490152194
7.383211715,5.30109764,4.689513377,1.635867514
7.486322215,5.692185795,4.789513377,1.725867514
7.606473595,6.453400504,4.974260637,1.813924643
