stretch_uniaxial,stress_uniaxial,stretch_shear,stress_shear
1.0,0.0,1.0,0.0
1.05,0.12,1.02,0.04
1.1,0.21,1.03,0.07
1.15,0.28,1.04,0.09
1.2,0.325,1.05,0.11
1.3,0.37,1.07,0.16
1.4,0.39,1.08,0.18
1.5,0.4,1.09,0.21
1.55,0.41,1.1,0.23
1.6,0.43,1.11,0.25
1.7,0.46,1.125,0.27
1.75,0.48,1.14,0.29
1.8,0.5,1.155,0.32
1.85,0.53,1.17,0.34
1.9,0.56,1.185,0.36
2.0,0.63,1.2,0.37
2.1,0.7,1.215,0.39
2.15,0.74,1.225,0.41
2.2,0.79,1.24,0.42
2.25,0.84,1.26,0.45
2.3,0.89,1.275,0.46
2.35,0.95,1.3,0.48
2.4,1.02,1.32,0.5
2.45,1.1,1.34,0.515
2.5,1.18,1.36,0.53
2.55,1.27,1.375,0.54
2.6,1.37,1.4,0.55
2.65,1.47,1.42,0.56
2.7,1.59,1.44,0.575
2.75,1.71,1.46,0.59
2.85,2.0,1.48,0.6
2.9,2.15,1.5,0.61
