Lambda,P
1.000000,0.000000
1.050000,0.107568
1.100000,0.203922
1.150000,0.291111
1.200000,0.370741
1.250000,0.444080
1.300000,0.512144
1.350000,0.575751
1.400000,0.635569
1.450000,0.692143
1.500000,0.745926
1.550000,0.797294
1.600000,0.846563
1.650000,0.893996
1.700000,0.939821
1.750000,0.984227
1.800000,1.027380
1.850000,1.069420
1.900000,1.110468
1.950000,1.150631
2.000000,1.190000
2.050000,1.228656
2.100000,1.266669
2.150000,1.304101
2.200000,1.341007
2.250000,1.377435
2.300000,1.413428
2.350000,1.449025
2.400000,1.484259
2.450000,1.519162
2.500000,1.553760
2.550000,1.588078
2.600000,1.622139
2.650000,1.655963
2.700000,1.689567
2.750000,1.722968
2.800000,1.756181
2.850000,1.789219
2.900000,1.822096
2.950000,1.854822
