Lambda,P
1.000000,0.000000
1.050000,0.042891
1.100000,0.082066
1.150000,0.118157
1.200000,0.151667
1.250000,0.183000
1.300000,0.212485
1.350000,0.240391
1.400000,0.266939
1.450000,0.292313
1.500000,0.316667
1.550000,0.340130
1.600000,0.362813
1.650000,0.384807
1.700000,0.406194
1.750000,0.427041
1.800000,0.447407
1.850000,0.467345
1.900000,0.486898
1.950000,0.506105
2.000000,0.525000
2.050000,0.543614
2.100000,0.561973
2.150000,0.580100
2.200000,0.598017
2.250000,0.615741
2.300000,0.633289
2.350000,0.650677
2.400000,0.667917
2.450000,0.685021
2.500000,0.702000
2.550000,0.718864
2.600000,0.735621
2.650000,0.752280
2.700000,0.768848
2.750000,0.785331
2.800000,0.801735
2.850000,0.818066
2.900000,0.834328
2.950000,0.850527
